pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,rowupdate
TOI-1130 b,TOI-1130,1,1,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),4.06649900,0.00004600,-0.00004500,0,0.043940,0.000350,-0.000380,0,3.650,0.100,-0.100,0,,,,,,,,,0.220000,0.110000,-0.110000,0,810,15,-15,0,87.980,0.860,-0.460,0,,,,,K7,4250.00,67.00,-67.00,0,0.69,0.01,-0.01,0,0.68,0.02,-0.02,0,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,0.1700000,-0.1691000,2020-03-26
TOI-1130 c,TOI-1130,1,1,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.35038100,0.00003200,-0.00003300,0,0.070980,0.000560,-0.000600,0,16.814,3.026,-2.466,0,309.56642,13.66669,-13.98452,0,0.38000,0.24000,-0.15000,0,0.047000,0.040000,-0.027000,0,637,12,-12,0,87.430,0.160,-0.160,0,-28.0000,24.0000,-55.0000,0,K7,4250.00,67.00,-67.00,0,0.69,0.01,-0.01,0,0.68,0.02,-0.02,0,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,0.1700000,-0.1691000,2020-03-26
TOI-122 b,TOI-122,1,1,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),5.07803000,0.00001500,-0.00001500,0,0.039200,0.000700,-0.000700,0,2.720,0.180,-0.180,0,,,,,,,,,0.000000,,,0,471,,,0,88.400,0.600,-0.400,0,,,,,M3 V,3403.00,100.00,-100.00,0,0.33,0.01,-0.01,0,0.31,0.01,-0.01,0,22h11m47.58s,332.9482355,-58d56m45.91s,-58.9460850,62.1180000,0.2165000,-0.2151000,2020-12-10
TOI-1231 b,TOI-1231,1,1,1,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),24.24558600,0.00006400,-0.00006600,0,0.128800,0.002100,-0.002200,0,3.650,0.160,-0.150,0,15.40000,3.30000,-3.30000,0,1.74000,0.47000,-0.42000,0,0.087000,0.120000,-0.061000,0,330,4,-4,0,89.730,0.180,-0.180,0,176.0000,81.0000,-90.0000,0,M3 V,3553.00,51.00,-52.00,0,0.48,0.01,-0.01,0,0.48,0.02,-0.02,0,10h26m59.34s,156.7472600,-52d28m04.34s,-52.4678724,27.6227000,0.0609000,-0.0609000,2021-06-02
TOI-1235 b,TOI-1235,1,1,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.44471700,0.00004000,-0.00004200,0,0.038260,0.000480,-0.000490,0,1.694,0.080,-0.077,0,5.90000,0.62000,-0.61000,0,6.70000,1.30000,-1.10000,0,,,,,775,13,-13,0,88.900,0.620,-0.570,0,,,,,M0.5 V,3997.00,51.00,-51.00,0,0.62,0.02,-0.02,0,0.63,0.02,-0.02,0,10h08m52.38s,152.2182549,+69d16m35.83s,69.2766204,39.6345000,0.0478000,-0.0478000,2021-05-17
TOI-125 b,TOI-125,1,1,3,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.65382000,0.00033000,-0.00031000,0,0.051860,0.000860,-0.000770,0,2.726,0.075,-0.075,0,9.50000,0.88000,-0.88000,0,2.57000,0.33000,-0.33000,0,0.194000,0.041000,-0.036000,0,1037,11,-11,0,88.920,0.710,-0.600,0,-37.0000,12.0000,-14.0000,0,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,0.4440000,-0.4400000,2020-02-06
TOI-125 c,TOI-125,1,1,3,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),9.15059000,0.00070000,-0.00082000,0,0.081400,0.001300,-0.001300,0,2.759,0.100,-0.100,0,6.63000,0.99000,-0.99000,0,1.73000,0.33000,-0.33000,0,0.066000,0.070000,-0.047000,0,828,9,-9,0,88.540,0.410,-0.190,0,70.0000,100.0000,-110.0000,0,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,0.4440000,-0.4400000,2020-02-06
TOI-125 d,TOI-125,1,1,3,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),19.98000000,0.00500000,-0.00560000,0,0.137000,0.002200,-0.002200,0,2.930,0.170,-0.170,0,13.60000,1.20000,-1.20000,0,2.98000,0.65000,-0.52000,0,0.168000,0.088000,-0.062000,0,638,7,-7,0,88.795,0.180,-0.100,0,46.0000,23.0000,-44.0000,0,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,0.4440000,-0.4400000,2020-02-06
TOI-1259 A b,TOI-1259 A,1,2,1,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),3.47797800,0.00000190,-0.00000170,0,0.040700,0.001140,-0.001100,0,11.456,0.336,-0.303,0,140.16233,15.57359,-14.93794,0,0.51300,0.05100,-0.04800,0,0.000000,,,0,963,21,-21,0,89.700,0.200,-0.260,0,,,,,,4775.00,100.00,-100.00,0,0.71,0.02,-0.02,0,0.74,0.06,-0.06,0,18h48m24.04s,282.1001665,+79d15m23.31s,79.2564761,118.1060000,0.3750000,-0.3720000,2021-07-12
TOI-1260 b,TOI-1260,1,1,2,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),3.12748000,0.00004700,-0.00003800,0,0.036600,0.002200,-0.003600,0,2.340,0.110,-0.090,0,8.60000,1.40000,-1.50000,0,3.69000,0.81000,-0.76000,0,0.000000,,,0,860,47,-31,0,88.800,0.800,-1.400,0,90.0000,,,0,K6 V,4227.00,85.00,-85.00,0,0.65,0.01,-0.01,0,0.66,0.01,-0.01,0,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,0.1607000,-0.1601000,2021-07-12
